    id    power(W) source(n/s)
    68 1.90558E+00 9.83015E+08
    87 2.39191E+00 1.23324E+09
    88 2.39191E+00 1.23324E+09
    92 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
    63 1.90558E+00 9.83015E+08
    64 1.90558E+00 9.83015E+08
    68 1.90558E+00 9.83015E+08
    69 1.90558E+00 9.83015E+08
    88 2.39191E+00 1.23324E+09
    89 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
    94 2.39191E+00 1.23324E+09
    65 1.90558E+00 9.83015E+08
    66 1.90558E+00 9.83015E+08
    70 1.90558E+00 9.83015E+08
    71 1.90558E+00 9.83015E+08
    90 2.39191E+00 1.23324E+09
    91 2.39191E+00 1.23324E+09
    95 2.39191E+00 1.23324E+09
    96 2.39191E+00 1.23324E+09
    66 1.90558E+00 9.83015E+08
    67 1.90558E+00 9.83014E+08
    71 1.90558E+00 9.83015E+08
    72 1.90558E+00 9.83015E+08
    91 2.39191E+00 1.23324E+09
    92 2.39191E+00 1.23324E+09
    96 2.39191E+00 1.23324E+09
    97 2.39191E+00 1.23324E+09
    67 1.90558E+00 9.83014E+08
    68 1.90558E+00 9.83015E+08
    72 1.90558E+00 9.83015E+08
    73 1.90558E+00 9.83015E+08
    92 2.39191E+00 1.23324E+09
    93 2.39191E+00 1.23324E+09
    97 2.39191E+00 1.23324E+09
    98 2.39191E+00 1.23324E+09
    68 1.90558E+00 9.83015E+08
    69 1.90558E+00 9.83015E+08
    73 1.90558E+00 9.83015E+08
    74 1.90558E+00 9.83015E+08
    93 2.39191E+00 1.23324E+09
    94 2.39191E+00 1.23324E+09
    98 2.39191E+00 1.23324E+09
    99 2.39191E+00 1.23324E+09
    75 2.39191E+00 1.23324E+09
    76 2.39191E+00 1.23324E+09
    80 2.39191E+00 1.23324E+09
    81 2.39191E+00 1.23324E+09
   100 2.85361E+00 1.47083E+09
   101 2.85361E+00 1.47083E+09
   105 2.85361E+00 1.47083E+09
   106 2.85361E+00 1.47083E+09
    76 2.39191E+00 1.23324E+09
    77 2.39191E+00 1.23324E+09
    81 2.39191E+00 1.23324E+09
    82 2.39191E+00 1.23324E+09
   101 2.85361E+00 1.47083E+09
   102 2.85361E+00 1.47083E+09
